recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Manganese mg,Vitamin C mg,Magnesium mg,Phosphorus mg,Copper mg,Folate µg,Vitamin A IU,Fiber g,Vitamin B6 mg,Iron mg,Vitamin B1 mg,Zinc mg,Vitamin E mg,Vitamin B2 mg,Potassium mg,Calcium mg,Selenium µg,Vitamin B5 mg,Vitamin B3 mg,Vitamin K µg,Vitamin D µg,Vitamin B12 µg,Alcohol g,Caffeine mg
655400,463.38,25.35,4.26,49.19,45.06,8.01,8.67,508.51,12.8,1.57,5.97,64.97,221.63,0.36,118.14,896.77,4.13,0.14,3.82,0.35,1.76,3.4,0.28,279.85,155.45,19.6,0.36,3.92,84.07,,0.09,,
656544,458.59,24.96,14.51,43.62,34.27,6.36,150.65,658.14,20.06,0.87,70.22,126.86,337.83,0.41,204.73,3060.24,9.35,0.65,2.39,0.28,2.78,1.12,0.29,717.83,290.68,18.12,1.1,2.19,158.14,0.85,0.77,,
644830,515.58,13.73,2.04,87.69,80.09,1.48,0.0,559.95,10.29,3.12,3.63,111.56,322.33,0.34,55.09,195.02,7.59,0.48,2.55,0.61,2.36,1.94,0.13,350.11,51.79,16.56,1.08,4.03,9.65,,,,
649850,794.02,55.01,33.74,76.65,47.62,1.2,178.37,505.24,21.78,14.55,1.84,212.61,429.84,1.53,25.61,2389.62,29.03,0.38,11.31,0.15,2.23,2.52,0.4,1608.86,834.23,9.81,1.95,1.37,190.84,0.96,0.46,,
637811,580.32,21.49,3.44,83.59,81.29,5.17,7.5,409.53,11.61,0.88,23.41,42.86,156.76,0.49,192.2,,2.3,0.49,3.86,0.53,1.35,2.6,0.26,602.75,29.62,15.3,1.09,7.13,14.28,,,,
1096168,331.43,5.2,0.94,59.89,56.46,2.67,40.92,242.55,8.83,0.62,1.83,30.51,119.6,0.43,125.9,8103.42,3.43,0.19,3.51,0.54,0.78,0.8,0.4,284.89,36.62,25.13,0.91,4.03,3.4,0.22,0.1,0.77,
640064,526.27,19.18,10.45,67.07,62.84,10.48,125.07,1245.99,21.59,0.81,108.45,50.97,249.39,0.33,182.63,12497.3,4.23,0.46,4.86,0.65,1.62,2.74,0.72,826.36,404.52,31.59,1.5,5.42,8.81,1.23,0.47,,
656329,308.7,22.4,10.18,13.37,12.22,5.84,132.24,558.54,15.53,0.29,19.5,36.34,324.39,0.24,53.09,13546.59,1.15,0.31,2.42,0.15,2.59,3.06,0.61,621.21,361.95,17.26,1.15,1.34,72.64,0.68,1.39,,
644205,349.42,17.4,2.89,41.17,36.13,8.73,81.92,252.67,10.27,0.71,55.73,60.95,198.73,0.23,148.98,3335.27,5.04,0.52,3.08,0.43,1.34,3.26,0.51,854.08,65.07,18.43,1.12,3.94,53.48,0.44,0.2,,
1095746,368.49,14.77,1.58,51.67,46.09,4.38,0.0,904.28,9.16,1.53,15.1,56.32,159.71,0.41,248.42,546.24,5.58,0.21,3.6,0.46,1.73,0.98,0.11,330.88,49.21,8.32,0.98,2.63,44.17,,,,
648118,180.85,14.66,2.05,13.04,6.31,7.17,0.0,328.98,2.32,0.51,7.27,31.96,55.93,0.19,47.28,807.19,6.73,0.22,1.02,0.09,0.43,3.38,0.1,507.73,28.9,1.11,0.59,1.55,50.3,,,,
641962,349.0,25.03,3.78,19.51,12.55,10.81,11.2,556.88,17.33,0.6,13.04,44.19,75.41,0.27,56.1,724.29,6.96,0.28,1.58,0.1,0.55,3.28,0.13,731.84,156.77,0.94,0.79,2.02,39.67,,,,
663771,353.09,15.02,2.33,46.36,40.6,10.18,0.0,597.06,9.83,1.21,27.56,60.77,168.62,0.26,99.12,1834.44,5.77,0.26,3.48,0.43,1.28,2.9,0.25,616.48,138.05,21.88,0.82,5.64,50.27,,,,
645020,328.49,14.61,2.04,43.81,40.11,1.66,0.0,997.4,6.13,0.39,23.71,38.41,108.78,0.2,31.33,,3.7,0.37,1.57,0.21,0.7,2.02,0.08,552.87,53.15,,0.52,2.07,10.65,,,,
654573,365.53,19.28,2.89,41.0,36.09,8.47,0.0,482.44,8.5,1.07,16.44,52.69,145.92,0.23,85.87,946.26,4.91,0.21,3.02,0.38,1.11,3.02,0.22,454.43,125.17,19.49,0.8,4.55,41.63,,,,
639794,496.47,25.3,22.21,64.11,60.76,9.11,0.0,18.64,6.54,2.01,1.31,69.54,172.71,0.41,161.09,,3.36,0.15,6.71,0.38,1.4,,0.03,328.4,56.23,9.88,1.01,3.35,,,,,
649147,364.64,19.26,2.89,40.9,36.05,8.46,0.0,482.29,8.39,1.03,15.8,50.4,143.91,0.21,83.44,758.12,4.85,0.21,2.9,0.38,1.08,2.99,0.22,443.9,118.83,19.48,0.79,4.51,26.84,,,,
658782,140.96,2.98,0.42,24.67,23.61,0.54,0.0,159.46,3.44,0.22,,7.78,37.31,0.05,68.11,,1.07,0.02,1.5,0.29,0.26,0.4,0.17,42.91,,10.64,0.2,2.03,1.68,,,,
1095817,204.4,16.17,1.58,12.12,8.56,6.04,0.0,3.16,5.58,0.89,,70.74,143.18,0.37,21.12,,3.56,0.1,1.29,0.08,1.04,2.53,0.12,234.87,44.77,1.32,0.16,0.67,,,,,
632094,555.4,21.5,1.66,82.29,77.06,51.61,0.0,608.74,12.45,1.04,,104.76,277.78,0.41,75.66,,5.23,0.07,2.9,0.32,1.34,9.91,0.59,413.53,144.41,14.79,0.33,3.08,1.57,,,0.34,
652687,418.41,12.99,5.65,61.4,58.35,4.53,20.34,941.08,7.15,0.83,6.74,30.38,146.88,0.41,174.86,906.3,3.05,0.26,3.55,0.45,1.26,0.92,0.35,368.42,22.34,17.54,2.06,5.58,44.73,0.29,,4.12,
1005368,479.16,38.76,6.91,25.8,23.07,5.03,11.06,614.22,8.57,0.7,18.67,36.6,146.25,0.16,51.48,662.1,2.73,0.14,2.66,0.24,1.12,5.52,0.18,312.96,157.24,15.28,0.55,2.99,45.29,,0.32,,
646660,505.05,38.92,10.49,31.24,29.96,7.91,29.48,390.66,8.34,0.22,1.23,16.53,113.99,0.24,85.47,449.06,1.28,0.08,1.88,0.22,0.64,4.1,0.23,87.88,80.55,12.6,0.4,1.94,17.64,0.19,0.08,,
645187,162.75,8.32,1.15,19.17,18.23,0.71,0.0,196.01,2.87,0.17,,6.21,32.52,0.05,66.4,,0.95,0.03,1.17,0.3,0.25,1.17,0.16,42.79,,8.03,0.24,1.79,5.5,,,,
663749,100.66,3.65,0.39,14.73,13.72,7.13,16.53,59.13,2.77,0.21,,19.7,60.89,0.08,20.54,,1.0,0.02,0.74,0.08,0.31,1.72,0.13,81.56,30.35,4.4,0.14,0.71,,,,,
661757,249.3,0.22,0.01,67.11,65.75,65.06,0.0,49.62,0.5,0.27,41.32,18.03,23.7,0.05,17.68,61.05,1.36,0.04,3.34,0.13,0.26,0.21,0.07,163.18,23.69,0.86,,0.36,5.61,,,,
648715,205.07,15.0,2.16,15.06,13.82,1.73,0.0,340.87,3.2,0.4,4.04,14.83,49.77,0.09,24.68,254.58,1.24,0.07,1.15,0.14,0.38,2.06,0.08,75.64,48.14,8.51,0.25,1.71,27.75,,,,
640123,560.52,25.47,7.28,74.67,70.57,26.02,72.44,930.29,9.22,0.51,22.37,38.26,503.64,0.2,86.54,713.24,4.09,0.21,3.07,0.28,1.07,2.85,0.29,449.43,188.95,11.27,0.94,2.85,16.06,,0.28,,
1061943,480.66,24.0,14.82,61.44,60.15,25.15,81.47,158.61,5.78,0.33,,11.94,154.2,0.08,89.22,738.79,1.29,0.03,2.39,0.37,0.44,0.74,0.27,191.72,71.44,18.02,0.32,2.78,2.14,0.54,0.1,,
633078,54.35,1.95,0.19,8.24,7.68,4.32,5.46,41.99,1.37,0.11,,10.74,39.02,0.04,10.1,,0.55,,0.37,0.04,0.16,0.96,0.06,52.92,19.98,1.98,,0.37,,,,,
642777,501.12,27.87,8.11,46.91,44.28,7.42,22.97,1056.17,13.99,0.06,,9.07,77.11,0.23,,1127.06,2.64,0.08,0.91,0.03,0.3,,0.11,52.71,169.57,0.83,0.22,,1.55,,,,
664470,132.49,11.91,1.85,4.75,3.62,1.48,1.2,213.87,1.82,0.1,5.9,6.37,20.32,0.03,12.36,426.14,1.13,0.03,0.45,0.05,0.22,0.91,0.03,42.54,32.49,1.07,,0.47,7.47,,,,
637513,71.53,3.61,0.99,7.58,6.91,0.89,16.99,131.74,2.39,0.21,,9.1,53.35,0.05,14.86,59.95,0.67,0.03,0.53,0.08,0.4,,0.08,51.56,36.0,4.15,0.14,0.46,,,0.06,,
635375,163.05,1.37,0.28,34.85,32.62,18.48,21.82,89.61,2.83,0.13,,11.77,95.72,0.04,24.52,,2.23,0.06,1.07,0.11,0.4,,0.09,197.19,44.92,5.89,0.18,0.82,,,,,
651758,100.88,1.31,0.24,19.97,18.96,7.97,19.64,9.42,2.22,0.1,1.24,,53.0,0.02,28.16,,1.01,,0.86,0.11,0.17,,0.09,101.36,25.27,6.32,0.15,0.82,,,,,
1096288,87.23,6.03,1.99,3.4,3.19,2.84,10.08,218.22,5.25,0.05,2.4,4.05,,,,162.71,,,,,,,,59.43,106.84,,,,3.0,,,,
640395,106.21,4.87,1.04,14.72,13.67,7.57,16.18,42.11,1.87,0.38,,11.91,46.39,0.08,14.11,55.12,1.05,0.03,0.57,0.09,0.38,0.18,0.06,57.98,13.43,5.06,0.15,0.55,,,,,
1095809,129.86,13.94,1.93,1.09,1.04,0.19,0.25,226.02,0.03,,,,,,,,,,,,,1.97,,,,,,,9.66,,,,
648119,70.6,3.75,2.22,8.58,8.05,2.92,12.09,42.98,0.98,0.07,,4.78,28.78,0.02,12.72,111.89,0.53,,0.41,0.05,,0.21,0.04,56.7,18.54,2.51,,0.41,,,,,
1697783,547.73,21.59,11.01,66.71,59.89,32.32,44.0,99.89,21.91,2.66,,116.27,444.77,0.33,29.23,573.04,6.82,0.14,2.61,0.32,3.03,0.28,1.06,581.9,360.08,28.33,1.28,1.47,1.39,1.17,1.16,0.36,28.3
1095832,198.65,7.42,1.03,28.58,27.05,0.14,0.0,410.0,4.26,0.26,,10.04,46.31,0.07,90.46,,1.54,0.03,1.83,0.4,0.35,1.14,0.22,53.35,11.66,12.51,0.3,2.58,3.73,,,,
