recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Vitamin C mg,Vitamin K µg,Manganese mg,Copper mg,Fiber g,Folate µg,Magnesium mg,Vitamin B6 mg,Phosphorus mg,Vitamin B1 mg,Iron mg,Potassium mg,Calcium mg,Vitamin B3 mg,Zinc mg,Vitamin B5 mg,Vitamin A IU,Vitamin B2 mg,Selenium µg,Vitamin E mg,Vitamin B12 µg,Vitamin D µg,Alcohol g
716408,367.59,12.57,3.86,32.25,28.97,6.55,69.31,419.08,28.44,138.36,18.26,0.64,0.19,3.28,90.59,63.48,0.67,316.54,0.16,1.78,710.33,112.11,6.14,1.54,1.38,3585.86,0.31,55.66,3.4,2.03,3.57,1.55
795751,647.15,26.0,7.64,52.66,40.79,7.2,125.92,851.93,51.75,113.0,42.98,1.53,0.57,11.87,231.01,199.27,1.92,793.31,0.45,4.67,1622.7,264.51,19.06,4.56,3.97,3574.46,0.63,60.16,5.03,1.15,0.3,
640941,231.87,15.92,2.03,19.79,11.63,5.32,0.0,65.2,7.95,170.16,360.75,0.95,0.26,8.16,129.29,58.7,0.48,165.45,0.31,3.14,817.1,93.05,1.58,1.08,0.67,1511.03,0.19,3.98,3.32,,,
798400,130.74,2.28,0.35,23.47,15.46,7.54,0.0,502.78,7.01,47.88,423.92,0.75,0.36,8.01,156.72,93.53,0.31,153.55,0.2,3.2,680.56,61.26,1.36,1.21,0.63,3407.7,0.13,2.82,1.93,,,
756814,293.92,13.1,0.94,36.28,29.63,19.97,0.0,259.95,11.45,89.99,238.57,1.43,0.85,6.65,61.5,101.39,0.44,170.27,0.15,3.11,649.89,371.65,2.17,1.1,0.49,4243.94,0.28,3.79,4.34,,,0.34
729366,451.99,3.85,1.37,103.25,84.82,52.63,8.23,168.19,14.89,398.25,162.15,1.33,0.63,18.43,310.37,169.95,1.63,347.37,0.55,5.22,2841.76,227.24,5.37,2.22,1.75,9694.28,0.43,5.07,4.12,,,
715769,625.07,30.69,3.32,71.66,62.1,6.45,0.0,971.81,19.86,81.79,5.16,2.77,0.97,9.56,191.83,216.62,0.63,500.43,0.42,5.58,668.06,139.72,1.67,3.6,0.88,2019.06,0.33,9.03,3.29,,,
782600,487.2,39.34,5.48,29.05,23.1,4.01,0.0,37.15,8.9,34.26,68.42,1.21,0.76,5.94,100.71,136.59,0.39,296.38,0.33,3.64,551.24,109.49,1.92,2.38,0.63,3715.03,0.16,9.86,6.14,,,
642605,365.28,9.37,1.57,61.53,48.77,5.8,3.6,376.22,12.3,12.15,52.64,1.11,0.91,12.77,95.15,81.08,0.45,250.07,0.35,4.68,682.05,64.81,6.69,2.63,2.07,950.4,0.43,30.22,2.33,,0.28,
715540,97.95,1.3,0.16,22.61,16.39,14.62,0.0,8.89,2.19,91.16,92.85,0.72,0.13,6.22,152.29,33.95,0.16,67.16,0.11,1.5,498.85,55.13,0.89,0.43,0.34,7456.67,0.11,0.94,0.7,,,
636589,468.46,3.99,2.26,96.17,79.6,23.79,7.12,347.49,24.42,253.26,12.41,1.62,0.69,16.56,260.05,288.33,1.59,423.82,0.96,8.33,3115.0,513.28,9.99,2.8,5.52,82547.6,0.81,56.98,14.0,0.6,2.42,
640062,238.85,15.54,2.24,26.27,17.04,2.32,0.0,13.83,4.62,53.04,22.64,0.34,0.24,9.23,119.99,56.85,0.48,121.59,0.16,1.81,758.81,29.32,3.13,1.22,1.68,1093.51,0.22,1.19,2.58,,,
715495,219.22,7.56,2.53,29.71,23.68,12.21,14.38,808.31,10.2,161.08,79.04,0.46,0.25,6.02,86.96,51.16,0.7,160.19,0.2,2.82,843.54,76.02,4.87,1.14,1.0,3465.66,0.26,7.09,3.3,0.23,,
715421,594.1,23.77,9.04,68.04,50.31,14.56,62.32,1709.61,34.23,25.41,31.12,1.03,0.61,17.73,170.17,146.82,0.76,582.57,0.43,5.59,1306.17,374.07,7.56,4.13,2.44,1678.71,0.54,22.22,2.73,1.33,0.25,
716432,658.01,44.75,20.46,12.37,8.81,5.94,1042.78,947.09,50.3,134.6,90.87,0.36,0.29,3.56,213.88,75.85,0.8,885.98,0.22,5.95,876.42,602.02,1.5,5.69,4.9,4661.59,1.56,90.72,4.54,2.82,5.63,
716437,188.29,7.27,1.64,24.52,17.88,15.29,6.67,242.63,8.99,28.02,79.95,0.48,0.48,6.64,114.75,80.28,0.41,183.04,0.22,1.67,1011.51,178.51,0.99,1.35,1.83,669.24,0.3,4.07,1.0,0.25,16.0,
639535,563.7,17.19,1.91,89.07,80.12,15.94,0.0,250.9,14.6,99.45,98.66,1.53,0.5,8.96,75.11,79.49,0.43,240.04,0.32,3.04,599.65,73.95,4.24,1.75,1.49,2467.47,0.18,1.07,2.3,,,
652417,465.69,7.27,0.92,82.46,66.89,5.06,0.0,759.03,20.05,35.13,43.22,2.13,0.58,15.57,141.58,104.82,1.03,337.51,0.27,5.66,873.75,129.71,3.8,2.41,1.75,9187.32,0.2,5.52,2.0,,,
794538,484.91,41.09,27.21,15.52,7.86,2.27,35.29,304.61,24.42,1.24,,1.41,0.46,7.66,24.98,103.37,1.83,205.21,1.36,4.54,638.42,430.73,18.92,1.31,9.11,,1.66,1.77,3.91,5.29,,
648320,320.24,17.9,2.65,5.1,3.87,0.93,93.55,174.19,34.25,15.05,24.91,0.07,0.47,1.23,52.51,55.46,1.42,352.02,0.4,1.77,911.46,40.79,13.52,1.18,2.93,284.66,0.66,62.31,1.15,5.41,,
769774,509.68,11.57,4.29,45.47,38.69,9.45,147.42,489.64,53.36,5.42,6.79,0.62,0.55,6.78,54.36,108.69,1.58,562.21,0.35,5.96,1515.16,102.0,13.11,13.11,3.29,32062.62,0.52,56.93,1.25,4.79,0.23,
649931,324.82,11.57,1.62,41.72,23.16,8.79,0.0,208.17,14.52,148.27,43.64,0.89,0.33,18.56,301.54,84.49,0.66,271.79,0.52,4.7,906.09,62.74,2.74,2.77,1.46,3930.91,0.22,4.32,3.79,,,
661925,360.08,17.22,2.57,45.76,39.31,14.18,1.56,208.44,7.66,140.28,15.95,1.23,0.36,6.46,143.98,109.18,0.5,241.99,0.23,2.82,586.87,53.91,1.83,1.71,0.77,2771.71,0.24,4.21,4.58,,,
660228,86.09,5.14,1.09,7.4,6.71,0.61,2.27,283.0,4.61,58.65,367.8,0.59,0.78,0.69,26.04,36.59,0.2,90.71,0.07,1.32,294.23,138.47,0.66,0.67,0.13,5127.07,0.1,2.1,0.46,,,
715447,566.11,19.15,7.71,55.76,43.9,11.68,100.4,1897.31,45.43,21.81,23.39,1.12,0.74,11.86,194.97,148.04,1.18,579.38,0.49,8.57,1600.86,131.9,9.11,10.21,1.86,3117.6,0.45,35.44,1.76,5.78,,
715543,170.13,14.79,2.15,10.91,3.72,1.62,0.0,8.48,2.32,15.2,23.29,0.21,0.21,7.19,86.52,32.92,0.29,60.4,0.08,0.65,551.64,18.17,1.87,0.7,1.44,291.28,0.14,,2.19,,,
641975,251.69,6.0,1.93,19.09,16.43,7.72,71.44,870.13,30.42,86.62,93.85,0.35,0.21,2.67,88.02,53.76,0.95,342.81,0.24,3.81,777.34,74.32,9.61,5.39,1.37,568.49,0.35,37.57,1.06,2.17,,
652423,484.07,25.22,3.33,53.47,44.62,3.31,0.0,638.24,13.96,41.05,186.11,1.31,0.52,8.86,63.81,73.5,0.8,246.37,0.3,3.23,519.05,83.62,2.2,1.49,0.98,1550.03,0.11,3.06,2.85,,,
660306,435.58,11.43,3.07,23.39,16.71,4.17,142.88,901.84,57.89,1.96,4.49,1.08,0.45,6.68,132.51,103.34,1.84,647.28,1.11,4.24,1115.88,77.23,13.51,5.35,1.93,,0.48,65.79,0.62,1.16,0.91,
715424,322.83,6.66,2.75,34.9,26.32,14.29,70.31,717.4,33.12,48.18,13.97,0.68,0.54,8.58,78.22,100.88,0.86,408.35,0.25,6.58,1557.09,97.66,9.21,7.02,1.4,1707.27,0.36,23.36,3.29,2.54,,
662670,138.58,11.18,1.63,8.63,4.2,2.75,0.0,116.19,3.61,59.12,411.69,0.47,0.22,4.43,66.59,67.76,0.3,80.93,0.11,1.54,531.86,44.35,2.0,0.69,0.8,3923.82,0.15,1.23,2.58,,,
716195,133.79,6.38,0.85,15.34,11.11,2.76,0.0,203.18,5.24,16.9,47.36,0.54,0.28,4.23,128.08,33.81,0.17,123.65,0.19,1.96,262.25,38.23,0.77,1.03,0.37,354.94,0.06,3.6,0.61,,,
663559,358.11,8.26,1.16,54.67,31.07,10.02,0.0,364.79,19.34,37.96,253.57,1.2,0.65,23.6,350.64,119.27,0.65,354.85,0.69,7.43,1220.22,129.72,3.77,3.67,1.9,9128.02,0.24,6.32,3.23,,,
633942,175.11,2.79,0.4,36.33,29.37,8.76,0.0,74.85,4.53,42.06,4.67,0.64,0.26,6.96,121.7,59.74,0.53,124.78,0.13,2.25,1212.17,83.89,2.0,0.84,0.7,2122.68,0.16,1.57,0.55,,,
715521,376.33,30.07,7.1,10.26,3.15,1.51,55.7,368.9,19.57,14.43,23.71,0.19,0.26,7.11,90.41,51.73,0.84,251.35,0.2,1.11,776.43,25.34,9.25,1.89,2.08,439.16,0.25,21.07,2.44,0.55,0.2,
716276,424.95,2.38,0.83,87.81,83.64,14.01,3.64,604.57,13.14,,,0.67,0.18,4.18,313.65,28.12,0.15,169.17,1.41,4.57,215.41,53.57,7.99,1.3,1.32,,0.75,32.99,,0.13,0.39,
658509,58.24,2.43,0.32,8.0,4.97,1.96,0.0,328.45,3.28,101.94,117.2,0.28,0.06,3.04,71.85,24.55,0.21,76.67,0.08,0.88,366.5,56.17,0.74,0.48,0.66,710.14,0.13,2.96,1.18,,,
782622,416.98,20.53,4.38,41.18,31.11,18.46,35.29,515.41,27.91,10.27,,0.82,0.24,10.07,47.29,81.27,2.37,140.65,1.38,0.92,860.39,449.61,22.72,1.11,9.56,76.11,1.62,2.98,3.0,5.29,,
664547,152.39,3.13,1.7,20.64,16.94,14.42,9.8,186.5,12.6,10.62,352.3,0.75,0.18,3.7,165.79,104.26,0.31,297.68,0.19,2.03,790.78,433.43,0.73,2.08,1.13,11165.24,0.58,11.34,2.82,0.91,,
661340,321.65,12.69,3.61,29.98,23.61,18.83,55.14,339.96,22.04,105.19,294.19,1.57,0.34,6.38,168.82,124.86,0.55,297.72,0.19,4.4,902.41,221.46,6.03,2.28,1.02,5810.33,0.46,19.73,4.32,0.4,,
715385,881.33,32.75,15.36,115.73,103.82,5.87,67.93,1602.98,35.19,33.5,26.82,1.14,0.83,11.91,153.34,182.08,1.85,628.74,0.76,5.53,2372.94,452.81,6.43,3.74,2.0,737.39,0.51,14.43,3.25,1.03,0.39,
716406,240.08,7.76,1.13,34.7,24.4,15.4,0.0,1825.26,10.84,67.3,87.34,0.86,0.49,10.3,158.32,67.17,0.42,227.93,0.57,4.7,634.31,75.19,4.19,2.49,0.51,2930.31,0.36,5.77,2.48,,,
658579,494.34,23.76,3.63,68.14,41.94,38.11,2.64,179.98,13.35,45.29,1573.19,3.23,0.98,26.2,970.12,146.09,0.45,295.9,0.72,7.14,2549.47,429.1,3.32,5.97,6.35,14696.26,0.57,3.62,5.41,,,
765011,440.58,36.29,4.47,21.54,13.99,5.96,2.65,215.93,12.3,66.62,42.28,0.96,0.52,7.55,136.87,126.66,0.37,271.11,0.27,4.07,677.32,186.57,1.55,1.71,0.88,1223.37,0.38,2.61,9.88,0.08,,
647875,416.13,14.5,2.05,65.96,57.5,2.9,0.0,224.14,7.98,83.21,15.52,0.76,0.42,8.46,76.81,92.23,1.13,221.13,0.31,3.87,1653.2,72.24,4.1,1.21,1.15,921.79,0.16,1.34,2.06,,,
157344,724.7,49.83,11.89,50.79,32.92,4.77,31.5,347.26,27.22,47.92,44.39,1.45,1.09,17.87,309.79,192.47,0.61,586.13,0.38,6.94,1563.78,331.72,4.33,4.49,2.29,2186.76,0.59,8.88,7.71,0.25,0.18,
639851,734.56,40.39,8.44,36.87,29.96,6.82,143.0,1551.4,55.67,126.02,160.86,0.49,0.39,6.9,99.06,146.97,1.4,694.6,0.53,3.91,2211.83,102.2,9.73,3.05,1.36,3449.14,0.37,90.04,7.09,3.03,2.8,
633921,301.22,14.45,1.85,18.46,15.73,12.75,62.37,310.27,25.18,22.59,48.59,0.35,0.5,2.73,86.37,53.01,1.1,290.85,0.41,3.87,834.86,65.14,9.96,1.39,2.23,829.43,0.58,44.41,3.19,3.61,,
660405,555.61,7.33,1.19,103.45,82.3,14.97,0.0,1201.19,23.13,49.4,164.01,1.73,1.39,21.16,371.01,207.66,0.79,438.48,0.9,7.36,2242.43,230.63,4.26,3.85,2.56,34383.39,0.35,4.17,1.49,0.09,,
637162,222.26,10.22,1.13,32.14,22.36,14.2,0.0,167.29,6.08,80.16,118.19,0.81,0.33,9.78,101.84,83.81,0.63,183.84,0.37,2.92,1037.35,147.95,3.32,1.36,0.93,33445.07,0.24,6.44,5.81,,,
716221,649.59,36.48,8.34,63.29,47.34,29.15,17.0,3602.79,25.36,134.83,78.42,1.16,1.05,15.95,193.36,118.52,0.97,574.25,0.7,4.51,1668.43,447.08,11.18,4.09,3.49,23354.44,1.11,25.59,6.6,0.37,0.47,
632252,30.37,0.45,0.07,5.54,4.07,1.06,0.04,71.13,1.89,6.57,112.96,0.32,0.08,1.48,53.24,26.22,0.14,53.2,0.06,0.94,232.95,30.26,1.62,0.5,0.51,2167.14,0.13,2.95,0.48,,,
982371,420.26,9.49,1.2,70.96,61.22,6.95,0.0,707.0,16.47,106.45,271.16,2.21,1.19,9.73,228.12,212.66,0.74,498.45,0.45,5.79,1198.72,128.5,3.15,3.37,1.43,4523.75,0.42,9.0,3.64,,,
632244,311.86,9.64,3.26,4.65,2.39,0.78,152.54,294.23,50.39,11.06,195.02,0.64,0.28,2.27,43.32,96.96,1.88,523.16,0.18,3.23,1086.99,108.26,24.41,1.92,3.45,4561.59,0.32,73.24,2.06,0.47,0.33,
655235,513.3,34.5,6.92,42.83,34.8,22.26,0.0,460.1,18.34,31.43,1.77,1.4,0.41,8.03,79.97,135.87,0.8,265.51,0.09,1.66,896.13,189.4,9.57,2.1,1.12,79.84,0.16,4.94,6.02,,,
1095753,564.81,29.26,4.07,66.99,51.14,7.59,0.0,416.58,19.82,247.2,687.68,2.32,2.1,15.84,302.12,215.64,1.4,570.55,0.73,7.3,1966.72,297.28,5.52,3.95,3.01,9879.16,0.58,13.65,3.69,,,
633344,433.09,21.33,7.09,4.95,3.38,3.13,169.2,533.18,51.74,95.14,3.65,0.13,0.54,1.57,34.28,74.33,2.04,618.15,2.36,2.67,1114.62,21.28,17.05,4.82,2.32,2349.34,0.85,75.43,1.82,1.34,0.81,
715573,810.53,45.86,16.47,68.7,60.1,16.2,108.41,1651.8,33.67,33.63,25.2,1.28,0.87,8.6,68.17,118.59,1.02,431.44,1.08,6.97,1450.21,198.85,9.36,4.34,1.87,823.29,0.46,72.57,4.31,1.37,,
716361,704.56,14.96,5.76,83.3,77.75,4.31,160.76,347.89,57.45,45.51,52.0,4.14,0.52,5.55,59.69,222.72,2.44,784.39,0.62,4.37,1507.33,111.23,28.71,3.68,4.87,1544.76,0.33,73.9,1.5,0.46,0.34,
664090,593.8,24.31,6.57,26.99,19.97,16.02,188.13,1269.9,67.0,70.6,143.01,0.68,0.4,7.02,122.26,115.39,1.42,650.28,0.38,5.19,1551.69,207.11,20.19,4.94,3.41,5176.31,0.61,61.53,2.05,0.93,,
651977,445.41,5.15,0.76,71.53,45.13,39.91,38.98,737.29,29.53,1057.6,46.4,1.24,0.35,26.4,419.13,155.61,3.16,464.5,0.6,7.76,2296.26,126.57,16.19,3.91,3.44,28434.36,0.89,18.27,14.41,0.36,0.28,
636602,251.7,6.49,1.3,42.39,33.88,5.97,0.0,666.45,8.73,33.24,161.27,1.23,0.37,8.51,179.35,122.28,0.36,236.22,0.29,3.1,672.78,158.12,1.97,1.69,0.61,12025.89,0.19,4.39,3.34,,,
661259,523.46,28.45,10.55,18.35,15.99,2.13,123.32,728.06,47.0,16.43,284.23,0.73,0.27,2.36,166.11,98.76,1.23,518.25,0.37,5.36,1029.67,281.04,12.65,7.89,1.73,5533.22,0.49,60.03,3.24,1.96,,
716423,294.38,13.83,4.99,35.13,31.56,31.88,13.04,327.39,8.63,130.33,12.59,0.53,0.34,3.57,85.13,54.28,0.61,175.34,0.15,1.98,734.69,89.12,1.76,1.16,0.84,3017.45,0.36,1.43,3.48,,,
634548,401.78,1.76,0.09,72.28,68.54,6.43,0.27,484.07,25.55,13.12,22.53,0.27,0.98,3.74,26.65,245.52,0.25,306.27,0.6,10.1,1531.67,257.38,2.64,0.4,0.4,15288.56,0.18,0.88,0.7,,,
646651,720.58,25.85,6.76,78.08,65.27,13.82,123.91,587.2,46.44,149.02,170.96,1.15,0.6,12.8,143.81,161.32,2.39,629.85,0.49,4.18,2355.88,170.56,21.09,2.65,5.62,37355.97,0.54,60.2,4.5,0.35,0.28,
792072,62.98,2.3,0.3,9.06,7.94,4.35,0.0,19.63,2.87,22.11,100.48,0.11,0.32,1.12,12.47,14.67,0.07,47.44,0.08,0.63,176.1,36.8,0.38,0.31,,1427.01,0.03,1.5,,,,
632269,353.84,17.74,2.69,42.38,36.25,7.12,0.0,203.13,8.2,105.69,16.36,1.8,0.31,6.13,90.39,138.22,0.59,312.34,0.13,4.29,562.05,100.37,1.43,1.73,1.04,2647.69,0.18,9.38,3.95,,,
659143,456.13,29.15,4.16,21.79,14.83,11.68,80.8,187.56,27.43,115.05,32.19,0.72,0.44,6.95,221.18,86.51,1.3,352.46,0.36,3.13,1425.72,87.78,10.63,1.56,2.53,2753.01,0.62,44.83,4.66,4.1,0.6,0.39
715533,512.32,28.72,10.08,12.49,10.76,0.74,135.26,330.44,49.62,2.48,10.08,0.14,0.12,1.73,24.24,101.36,0.64,710.11,0.21,1.5,1037.67,287.55,5.12,2.35,0.55,468.61,0.3,81.15,3.69,2.35,2.27,
640921,503.77,8.76,1.82,51.89,41.22,8.69,145.38,543.28,55.61,171.27,18.36,0.71,0.45,10.68,122.6,154.78,2.61,675.24,0.41,3.83,2102.74,99.33,27.0,2.47,4.34,2433.4,0.45,73.92,2.12,0.47,0.23,
639411,417.84,21.94,3.32,5.46,4.89,1.58,112.03,397.16,43.31,12.4,48.9,0.11,0.1,0.57,42.19,62.38,1.3,559.46,0.14,0.9,1129.98,35.74,15.43,0.99,0.86,557.96,0.12,104.25,4.28,2.49,10.66,3.09
646043,416.87,5.81,0.69,73.79,58.28,20.38,0.0,242.66,23.05,156.36,214.1,2.02,1.07,15.51,713.96,266.18,0.56,392.48,0.71,12.76,1822.01,322.18,21.16,3.03,1.58,1495.38,0.44,12.81,2.41,,,
975070,345.99,7.81,1.18,49.52,37.23,11.93,36.29,887.31,25.41,142.69,230.44,1.62,0.86,12.29,160.25,200.37,1.02,382.7,0.52,11.45,1919.97,311.04,11.46,2.34,1.59,1920.46,0.52,25.12,3.91,0.11,,
636608,482.08,23.27,4.54,57.41,49.1,8.35,10.12,290.57,15.34,43.5,34.35,1.9,0.72,8.31,163.5,182.23,0.65,373.59,0.49,4.55,1180.99,184.34,5.08,2.58,1.39,20687.41,0.37,8.13,5.08,,,
715391,311.77,3.78,0.67,49.24,37.07,13.08,36.16,1081.66,24.33,24.36,7.25,0.52,0.57,12.17,100.48,116.22,0.99,404.86,0.33,5.07,1312.86,109.34,9.34,2.92,1.83,478.0,0.38,20.68,1.85,0.12,,
716330,462.19,6.21,1.59,81.86,64.29,58.19,73.09,1097.43,30.76,152.61,165.33,2.16,0.71,17.57,237.42,143.27,1.6,345.04,0.24,9.87,1486.66,439.48,15.79,1.7,2.74,4923.68,0.42,41.18,8.07,0.24,,
636230,120.87,5.08,3.06,13.56,10.62,5.44,17.23,370.86,7.16,92.95,205.97,0.3,0.1,2.94,78.73,40.72,0.27,169.76,0.15,1.25,458.5,185.21,1.09,1.07,0.96,1539.75,0.36,8.05,1.09,0.49,0.84,
652393,419.51,3.77,0.44,70.65,38.06,10.08,0.0,234.6,26.37,108.17,26.5,1.52,0.56,32.59,514.45,137.24,0.84,478.66,0.92,8.43,1286.99,93.58,3.68,4.97,2.45,6200.17,0.3,8.38,2.67,,,
640117,1117.39,53.81,8.86,107.87,81.48,6.75,101.62,1215.76,57.37,56.65,129.88,1.26,0.86,26.38,218.4,239.81,0.93,949.46,0.61,8.18,1837.73,237.47,10.92,4.13,1.77,1572.07,0.53,82.88,5.69,2.74,5.35,
644826,350.81,14.52,2.5,26.81,19.91,16.16,73.1,317.97,30.96,95.11,115.72,0.6,0.38,6.91,82.45,83.55,0.92,307.88,0.28,3.13,829.48,186.17,13.23,1.8,1.38,6718.13,0.25,26.66,1.11,0.29,,
642085,357.62,4.47,0.7,74.99,62.78,9.08,0.0,122.52,9.1,85.68,30.06,1.04,0.51,12.21,148.39,133.02,1.22,251.21,0.38,5.32,1980.15,124.55,5.09,1.5,1.51,11674.76,0.2,2.1,3.01,,,
662968,167.78,1.12,0.15,36.2,30.0,5.82,0.0,214.26,4.87,633.12,3.96,0.5,0.21,6.2,3567.15,49.54,0.53,117.66,0.17,1.71,716.92,173.74,346.55,0.65,0.52,1288.55,0.11,1.6,0.36,,,
659109,439.42,18.74,2.57,45.08,41.17,3.91,38.98,1034.95,25.67,163.79,810.88,1.75,2.16,3.91,145.16,163.78,1.23,459.41,0.47,4.45,1240.9,214.03,7.6,2.55,1.73,12490.01,0.58,31.2,2.85,2.25,,
646738,195.44,9.7,1.37,22.31,15.22,1.66,0.11,421.07,6.59,31.91,159.99,0.58,0.52,7.09,98.29,49.76,0.24,124.91,0.19,1.97,426.15,101.59,0.77,0.89,0.27,3867.88,0.09,2.76,1.38,,,
633221,156.19,7.55,1.05,20.08,13.68,13.35,0.0,130.24,3.46,104.96,8.17,0.67,0.15,6.4,207.63,49.92,0.33,85.72,0.09,1.97,693.28,48.01,1.36,0.8,0.5,2701.09,0.14,1.13,2.24,,,
659135,492.77,18.34,2.75,43.98,35.41,10.26,93.5,217.57,38.46,59.37,30.02,0.83,0.73,8.57,138.32,113.61,1.95,504.4,0.61,3.55,1920.93,95.57,15.81,2.14,3.86,5571.47,0.77,64.45,2.81,5.41,,
647016,193.17,0.32,0.08,43.95,38.37,2.97,0.0,226.01,4.81,45.33,30.08,0.42,0.25,5.58,49.32,56.79,0.68,134.6,0.19,1.96,992.87,39.77,2.45,0.72,0.69,2305.34,0.09,1.0,0.37,,,
